Nombre de Usuario,Número de Seguidores,Cantidad de Publicaciones,Cantidad de Interacciones
@GatoCurioso123,3200,152,1050
@ViajeroGaláctico,9800,294,2205
@AmanteDeLaComida,4500,201,1502
@ExploradorSubmarino,2100,88,602
@AventureroDelEspacio,7500,305,2301
@FanáticoDeLosGatos,6400,281,2103
@MelómanoLoco,5500,232,1754
@GamerExtremo,8700,347,2610
@FotógrafoViajero,6800,296,2223
@MágicoMisterioso,4100,173,1301
@CocineroExperto,3800,159,1205
@EscaladorValiente,2900,121,912
@AtletaDelExtreme,5500,234,1756
@ArtistaCreativo,6200,271,2043
@BibliófiloApasionado,5300,227,1699
@InventorGenial,4200,178,1335
@AstrónomoAmateur,3100,131,983
@CazadorDeAuroras,7400,311,2338
@BailarínEstrella,6700,295,2217
@CientíficoChiflado,8900,373,2806
@VeganoSaludable,4900,207,1554
@SurfistaAudaz,3600,152,1147
@CineastaCinéfilo,6300,267,2009
@LibrepensadorRaro,5100,217,1627
@NómadaDigital,4400,186,1405
@ArqueólogoIntrépido,3300,139,1047
@ModeloExtraterrestre,7200,305,2285
@EcoGuerrero,6600,279,2093
@EscultorVisionario,5700,243,1827
@FanDeLosCómics,9600,402,3026
@LectorInsaciable,4900,205,1540
@BuceadorProfundo,2800,115,871
@CocineroFuturista,4000,168,1262
@EmprendedorInnovador,4800,206,1551
@MontañistaIntrépido,7000,298,2236
@MúsicoViajero,6500,284,2137
@EscritorSurrealista,5800,247,1859
@NinjaSilencioso,3400,142,1068
@ProgramadorGenio,8100,340,2554
@BailarinaCósmica,6900,299,2247
@ChefCómico,4200,180,1349
@ExploradorGaláctico,2600,109,819
@CazadorDeMisterios,7100,301,2262
@DiseñadorExtravagante,5500,232,1752
@PoetaViajero,4900,207,1556
@MalabaristaEspacial,3800,160,1206
@AventureraVirtual,4700,199,1495
@GenioMalvado,6100,262,1967
@EstrellaDeCirco,7400,310,2331
